"","actor","mean_mr","mean_si","mean_ec","mean_mr2","mean_si2","mean_ec2","n_statements","morastate","sponsorstate","morasponsor","council_member","is_regional_group","regional_group","isa_member","observer_state","igo","ngo","actor_type_eh2"
"43","malta",0.616666666666667,0.683333333333333,0.783333333333333,0.616666666666667,0.683333333333333,0.783333333333333,3,1,0,"moratorium/pp",0,0,"western europe and other states group",1,0,0,0,"member state"
"44","marshall islands",0.42,0.7,0.92,0.42,0.7,0.92,1,1,0,"moratorium/pp",0,0,"asia pacific group",1,0,0,0,"member state"
"45","mexico",0.783333333333333,0.336666666666667,0.445,0.783333333333333,0.336666666666667,0.445,6,1,0,"moratorium/pp",1,0,"latin american caribbean group",1,0,0,0,"member state"
"46","monaco",0.0875,0.566,0.894,0.0875,0.566,0.894,5,1,0,"moratorium/pp",0,0,"western europe and other states group",1,0,0,0,"member state"
"47","morocco",0.4,0.9,0.7,0.5125,0.7375,0.6125,1,0,0,"neither",1,0,"african group",1,0,0,0,"member state"
"48","mozambique",0.05,0.3,0.85,0.3375,0.4375,0.6875,1,0,0,"neither",0,0,"african group",1,0,0,0,"member state"
"49","nauru",0.8,0.94,0.37,0.8,0.94,0.37,2,0,1,"sponsor",1,0,"asia pacific group",1,0,0,0,"member state"
"50","netherlands",0.57125,0.506,0.475,0.57125,0.506,0.475,8,0,0,"neither",1,0,"western europe and other states group",1,0,0,0,"member state"
"51","new zealand",0.7,0.45,0.625,0.7,0.45,0.625,2,1,0,"moratorium/pp",0,0,"western europe and other states group",1,0,0,0,"member state"
"52","nigeria",0.893333333333333,0.6,0.66,0.759166666666667,0.5875,0.5925,3,0,0,"neither",1,0,"african group",1,0,0,0,"member state"
"53","norway",0.445,0.45,0.7325,0.445,0.45,0.7325,4,0,0,"neither",0,0,"western europe and other states group",1,0,0,0,"member state"
"54","oceans north",0.1,0.25,0.85,0.1,0.25,0.85,1,0,0,"neither",0,0,"none",0,0,0,1,"observer ngo"
"55","opes oceani foundation",0.885,0.18,0.295,0.885,0.18,0.295,2,0,0,"neither",0,0,"none",0,0,0,1,"observer ngo"
"56","pakistan",0.575,0.275,0.84,0.575,0.275,0.84,2,0,0,"neither",0,0,"asia pacific group",1,0,0,0,"member state"
"57","palau",0.0933333333333333,0.76,0.9075,0.0933333333333333,0.76,0.9075,4,1,0,"moratorium/pp",0,0,"asia pacific group",1,0,0,0,"member state"
"58","panama",0.19,0.546,0.772,0.19,0.546,0.772,5,1,0,"moratorium/pp",0,0,"latin american caribbean group",1,0,0,0,"member state"
"59","pew",0.575,0.625,0.815,0.575,0.625,0.815,2,0,0,"neither",0,0,"none",0,0,0,1,"observer ngo"
"60","philippines",0.5575,0.365,0.7875,0.5575,0.365,0.7875,4,0,0,"neither",0,0,"asia pacific group",1,0,0,0,"member state"
"61","poland",0.826666666666667,0.216666666666667,0.49,0.826666666666667,0.216666666666667,0.49,3,0,1,"sponsor",1,0,"eastern europe group",1,0,0,0,"member state"
"62","portugal",0.624,0.25,0.786,0.624,0.25,0.786,5,1,0,"moratorium/pp",1,0,"western europe and other states group",1,0,0,0,"member state"
"63","qatar",0.78,0.5,0.86,0.78,0.5,0.86,1,0,0,"neither",0,0,"asia pacific group",1,0,0,0,"member state"
"64","republic of korea",0.235,0.85,0.85,0.235,0.85,0.85,2,0,1,"sponsor",1,0,"asia pacific group",1,0,0,0,"member state"
"65","russia",0.753636363636364,0.267142857142857,0.715,0.753636363636364,0.267142857142857,0.715,12,0,1,"sponsor",1,0,"eastern europe group",1,0,0,0,"member state"
"66","samoa",0.45,0.65,0.9,0.45,0.65,0.9,1,1,0,"moratorium/pp",0,0,"asia pacific group",1,0,0,0,"member state"
