,actor,mean_mr,mean_si,mean_ec,mean_mr2,mean_si2,mean_ec2,n_statements,morastate,sponsorstate,morasponsor,council_member,is_regional_group,regional_group,isa_member,observer_state,igo,ngo,actor_type_eh2
47,lesotho,0.6,0.7,0.9,0.633333333,0.55,0.7,1,0,0,neither,1,0,african group,1,0,0,0,member state
48,madagascar,0.3,0.65,0.95,0.483333333,0.525,0.725,1,0,0,neither,0,0,african group,1,0,0,0,member state
49,malta,0.616666667,0.683333333,0.783333333,0.616666667,0.683333333,0.783333333,3,1,0,moratorium/pp,0,0,western europe and other states group,1,0,0,0,member state
50,marshall islands,0.42,0.7,0.92,0.42,0.7,0.92,1,1,0,moratorium/pp,0,0,asia pacific group,1,0,0,0,member state
51,mauritius,0.8,0,0,0.733333333,0.2,0.25,1,0,0,neither,1,0,african group,1,0,0,0,member state
52,mexico,0.733333333,0.336666667,0.41,0.733333333,0.336666667,0.41,9,1,0,moratorium/pp,1,0,latin american caribbean group,1,0,0,0,member state
53,monaco,0.0875,0.566,0.894,0.0875,0.566,0.894,5,1,0,moratorium/pp,0,0,western europe and other states group,1,0,0,0,member state
54,morocco,0.625,0.475,0.675,0.645833333,0.4375,0.5875,2,0,0,neither,1,0,african group,1,0,0,0,member state
55,mozambique,0.05,0.3,0.85,0.358333333,0.35,0.675,1,0,0,neither,0,0,african group,1,0,0,0,member state
56,nauru,0.9125,0.695,0.235,0.9125,0.695,0.235,5,0,1,sponsor,1,0,asia pacific group,1,0,0,0,member state
57,netherlands,0.552,0.506,0.51875,0.552,0.506,0.51875,10,0,0,neither,1,0,western europe and other states group,1,0,0,0,member state
58,new zealand,0.81,0.45,0.443333333,0.81,0.45,0.443333333,3,1,0,moratorium/pp,0,0,western europe and other states group,1,0,0,0,member state
59,nigeria,0.895,0.34,0.66,0.780833333,0.37,0.58,4,0,0,neither,1,0,african group,1,0,0,0,member state
60,norway,0.445,0.45,0.7325,0.445,0.45,0.7325,4,0,0,neither,0,0,western europe and other states group,1,0,0,0,member state
61,oceans north,0.1,0.25,0.85,0.1,0.25,0.85,1,0,0,neither,0,0,none,0,0,0,1,observer ngo
62,opes oceani foundation,0.885,0.18,0.295,0.885,0.18,0.295,2,0,0,neither,0,0,none,0,0,0,1,observer ngo
63,pakistan,0.575,0.275,0.84,0.575,0.275,0.84,2,0,0,neither,0,0,asia pacific group,1,0,0,0,member state
64,palau,0.093333333,0.76,0.9075,0.093333333,0.76,0.9075,4,1,0,moratorium/pp,0,0,asia pacific group,1,0,0,0,member state
65,panama,0.19,0.488333333,0.66,0.19,0.488333333,0.66,6,1,0,moratorium/pp,0,0,latin american caribbean group,1,0,0,0,member state
66,pew,0.541666667,0.556666667,0.86,0.541666667,0.556666667,0.86,6,0,0,neither,0,0,none,0,0,0,1,observer ngo
67,philippines,0.46,0.372857143,0.75625,0.46,0.372857143,0.75625,8,0,0,neither,0,0,asia pacific group,1,0,0,0,member state
68,poland,0.845,0.216666667,0.49,0.845,0.216666667,0.49,4,0,1,sponsor,1,0,eastern europe group,1,0,0,0,member state
69,portugal,0.691111111,0.23125,0.685,0.691111111,0.23125,0.685,9,1,0,moratorium/pp,1,0,western europe and other states group,1,0,0,0,member state
70,qatar,0.78,0.5,0.86,0.78,0.5,0.86,1,0,0,neither,0,0,asia pacific group,1,0,0,0,member state
71,republic of korea,0.235,0.85,0.85,0.235,0.85,0.85,2,0,1,sponsor,1,0,asia pacific group,1,0,0,0,member state
72,russia,0.722857143,0.288888889,0.655454545,0.722857143,0.288888889,0.655454545,15,0,1,sponsor,1,0,eastern europe group,1,0,0,0,member state
73,samoa,0.45,0.65,0.9,0.45,0.65,0.9,1,1,0,moratorium/pp,0,0,asia pacific group,1,0,0,0,member state
74,saudi arabia,0.815,0.12,0.36,0.815,0.12,0.36,2,0,0,neither,0,0,asia pacific group,1,0,0,0,member state
75,secretary general,0.730714286,0.45,0.432,0.730714286,0.45,0.432,14,0,0,neither,0,0,none,0,0,0,0,isa
76,senegal,0.74,0.66,0.79,0.703333333,0.53,0.645,2,0,0,neither,0,0,african group,1,0,0,0,member state
77,sierra leone,0.775714286,0.605,0.50375,0.721190476,0.5025,0.501875,10,0,0,neither,1,0,african group,1,0,0,0,member state
78,singapore,0.808333333,0.333333333,0.574,0.808333333,0.333333333,0.574,6,0,1,sponsor,1,0,asia pacific group,1,0,0,0,member state
79,slovenia,0,0.4,0.95,0,0.4,0.95,1,1,0,moratorium/pp,0,0,eastern europe group,1,0,0,0,member state
80,south africa,0.492,0.392,0.77,0.579333333,0.396,0.635,5,0,0,neither,1,0,african group,1,0,0,0,member state
81,spain,0.507777778,0.3125,0.655555556,0.507777778,0.3125,0.655555556,11,1,0,moratorium/pp,0,0,western europe and other states group,1,0,0,0,member state
82,sri lanka,0.18,0.73,0.92,0.18,0.73,0.92,1,0,0,neither,0,0,asia pacific group,1,0,0,0,member state
83,sustainable ocean alliance,0.02,0.4,0.95,0.02,0.4,0.95,2,0,0,neither,0,0,none,0,0,0,1,observer ngo
84,switzerland,0.515,0.3875,0.691111111,0.515,0.3875,0.691111111,10,1,0,moratorium/pp,0,0,western europe and other states group,1,0,0,0,member state
85,tanzania,0.91,0.4225,0.526666667,0.788333333,0.41125,0.513333333,4,0,0,neither,1,0,african group,1,0,0,0,member state
86,te ipukarea society,0.05,0.2,0.9,0.05,0.2,0.9,2,0,0,neither,0,0,none,0,0,0,1,observer ngo
87,tetiaroa society,0,0.3,0.95,0,0.3,0.95,2,0,0,neither,0,0,none,0,0,0,1,observer ngo
88,the ocean and us,0.05,0.45,0.98,0.05,0.45,0.98,1,0,0,neither,0,0,none,0,0,0,1,observer ngo
89,tonga,0.63,0.494444444,0.586,0.63,0.494444444,0.586,10,0,1,sponsor,1,0,asia pacific group,1,0,0,0,member state
90,trinidad and tobago,0.71,0.31,0.465714286,0.71,0.31,0.465714286,9,0,0,neither,1,0,latin american caribbean group,1,0,0,0,member state
91,tuvalu,0.2,0.45,0.933333333,0.2,0.45,0.933333333,3,1,0,moratorium/pp,0,0,asia pacific group,1,0,0,0,member state
92,uganda,0.54,0.35,0.06,0.603333333,0.375,0.28,2,0,0,neither,1,0,african group,1,0,0,0,member state
93,uk,0.81,0.311111111,0.547142857,0.81,0.311111111,0.547142857,10,1,1,both,0,0,western europe and other states group,1,0,0,0,member state
94,usa,0.9,0.45,0.1,0.9,0.45,0.1,1,0,0,neither,0,0,none,0,1,0,0,observer state
95,viet nam,0.815,0.485,0.65,0.815,0.485,0.65,2,0,0,neither,0,0,asia pacific group,1,0,0,0,member state
96,wwf,0.05,0.5125,0.955,0.05,0.5125,0.955,4,0,0,neither,0,0,none,0,0,0,1,observer ngo
97,zambia,0.05,0.45,0.92,0.358333333,0.425,0.71,1,0,0,neither,0,0,african group,1,0,0,0,member state
98,zimbabwe,0.673333333,0.645,0.448888889,0.67,0.5225,0.474444444,9,0,0,neither,0,0,african group,1,0,0,0,member state
