source,target,weight
secretary_general,ec,0.432
senegal,mr,0.7033333333333334
senegal,si,0.5299999999999999
senegal,ec,0.645
sierra_leone,mr,0.7211904761904762
sierra_leone,si,0.5025
sierra_leone,ec,0.5018750000000001
singapore,mr,0.8083333333333333
singapore,si,0.33333333333333337
singapore,ec,0.574
slovenia,mr,0
slovenia,si,0.4
slovenia,ec,0.95
south_africa,mr,0.5793333333333333
south_africa,si,0.396
south_africa,ec,0.635
spain,mr,0.5077777777777778
spain,si,0.3125
spain,ec,0.6555555555555556
sri_lanka,mr,0.18
sri_lanka,si,0.73
sri_lanka,ec,0.92
sustainable_ocean_alliance,mr,0.02
sustainable_ocean_alliance,si,0.4
sustainable_ocean_alliance,ec,0.95
switzerland,mr,0.515
switzerland,si,0.3875
switzerland,ec,0.6911111111111111
tanzania,mr,0.7883333333333333
tanzania,si,0.41125
tanzania,ec,0.5133333333333333
te_ipukarea_society,mr,0.05
te_ipukarea_society,si,0.2
te_ipukarea_society,ec,0.9
tetiaroa_society,mr,0
tetiaroa_society,si,0.3
tetiaroa_society,ec,0.95
the_ocean_and_us,mr,0.05
the_ocean_and_us,si,0.45
the_ocean_and_us,ec,0.98
tonga,mr,0.63
tonga,si,0.49444444444444446
tonga,ec,0.586
trinidad_and_tobago,mr,0.71
trinidad_and_tobago,si,0.31
trinidad_and_tobago,ec,0.4657142857142857
tuvalu,mr,0.2
tuvalu,si,0.45
tuvalu,ec,0.9333333333333333
uganda,mr,0.6033333333333333
uganda,si,0.375
uganda,ec,0.28
uk,mr,0.81
uk,si,0.3111111111111111
uk,ec,0.5471428571428572
usa,mr,0.9
usa,si,0.45
usa,ec,0.1
viet_nam,mr,0.815
viet_nam,si,0.485
viet_nam,ec,0.6499999999999999
wwf,mr,0.05
wwf,si,0.5125000000000001
wwf,ec,0.955
zambia,mr,0.35833333333333334
zambia,si,0.425
zambia,ec,0.71
zimbabwe,mr,0.6699999999999999
zimbabwe,si,0.5225
zimbabwe,ec,0.47444444444444445
